ID	ALIGNMENT	COGID	CONCEPT	DOCULECT	FORM	SPANISH	TOKENS	VALUE	MORPHEMES	COGIDS	NOTES	AUTOCOGIDS
1221	d a - b i	747	meat (flesh)	Nawa	dabi	carne	d a b i	dabi	flesh/meat			2296
1222	d a n b i	747	meat (flesh)	Marinawa	danbi	carne	d a n b i	danbi	flesh/meat			2296
1223	d a - b i	747	meat (flesh)	Yaminawa	dabi	carne	d a b i	dabi	flesh/meat			2296
1224	n a m - i	747	meat (flesh)	Kashinawa_P	nami	carne	n a m i	nami	flesh/meat			2295
1225	n a m - i	747	meat (flesh)	Kashinawa_B	nami	carne	n a m i	nami	flesh/meat			2295
1226	- - e m - i	747	meat (flesh)	Araona	emi	carne	e m i	emi				0
1227	a i tʃ a	748	meat (flesh)	Tacana	aiča	carne	a i tʃ a	aiča				0
1228	- j a m - i	747	meat (flesh)	Tacana	yami	carne	j a m i	yami				0
1229	e r a m - i	747	meat (flesh)	Cavinena	erami	carne	e r a m i	e-rami				0
1230	eː j a m - i	747	meat (flesh)	Ese_ejja	eeyami	carne	eː j a m i	e-eyami				0
1231	β ɨ tʃ i	358	fat (grease)	Matses	βɨtʃi	grasa	β ɨ tʃ i	βɨtʃi	fat			1044
1232	ʂ ɨ n i + o	358	fat (grease)	Matis	ʂɨnio	grasa	ʂ ɨ n i + o	ʂɨnio	fat _o		!	1043 19
1233	ʂ ɨ n - i	358	fat (grease)	Marubo	ʂɨni	grasa	ʂ ɨ n i	ʂɨni	fat			1043
1234	x e n - e	358	fat (grease)	Katukina	xene	grasa	x e n e	xene	fat			1043
1235	ʂ ɨ n - i	358	fat (grease)	Shipibo_Konibo	ʂɨni	grasa	ʂ ɨ n i	ʂɨni	fat			1043
1236	ʂ ɨ n - i	358	fat (grease)	Kapanawa	ʂɨni	grasa	ʂ ɨ n i	ʂɨni	fat			1043
1237	ʂ ɨ n - i	358	fat (grease)	Shanenawa	ʂɨni	grasa	ʂ ɨ n i	ʂɨni	fat			1043
1238	h ɨ ⁿd - i	358	fat (grease)	Poyanawa	hɨndi	grasa	h ɨ ⁿd i	hɨndi	fat			1043
1239	h ɨ n - i	358	fat (grease)	Iskonawa	hɨni	grasa	h ɨ n i	hɨni	fat			1043
1240	ʂ ɨ n - i	358	fat (grease)	Chakobo	ʂɨni	grasa	ʂ ɨ n i	ʂɨni	fat			1043
1241	ʂ ɨ n - i	358	fat (grease)	Kakataibo	ʂɨni	grasa	ʂ ɨ n i	ʂɨni	fat			1043
1242	ʃ i d - i	358	fat (grease)	Mastanawa	ʃidi	grasa	ʃ i d i	ʃidi	fat			1043
1243	ʂ ɨ d - i	358	fat (grease)	Chaninawa	ʂɨdi	grasa	ʂ ɨ d i	ʂɨdi	fat			1043
1244	ʂ ɨ d - i	358	fat (grease)	Sharanawa	ʂɨdi	grasa	ʂ ɨ d i	ʂɨdi	fat			1043
1245	ç ɨ ⁿd - i	358	fat (grease)	Amawaka	çɨndi	grasa	ç ɨ ⁿd i	çɨndi	fat			1043
1246	ʂ ɨ d - i	358	fat (grease)	Nawa	ʂɨdi	grasa	ʂ ɨ d i	ʂɨdi	fat			1043
1247	ʂ ɨ ⁿd - i	358	fat (grease)	Marinawa	ʂɨndi	grasa	ʂ ɨ ⁿd i	ʂɨndi	fat			1043
1248	ʂ ɨ d - i	358	fat (grease)	Yaminawa	ʂɨdi	grasa	ʂ ɨ d i	ʂɨdi	fat			1043
1249	ʂ ɨ n - i	358	fat (grease)	Kashinawa_P	ʂɨni	grasa	ʂ ɨ n i	ʂɨni	fat			1043
1250	e ts e - i	358	fat (grease)	Araona	etsei	grasa	e ts e i	etsei				0
1251	e ts e - i	358	fat (grease)	Tacana	etsei	grasa	e ts e i	etsei				0
1252	e ts e r i	358	fat (grease)	Cavinena	etseri	grasa	e ts e r i	etseri				0
1253	ʔ	359	fat (grease)	Ese_ejja	ʔ	grasa	ʔ	?				0
1254	i n + t a k	105	blood	Matses	intak	sangre	i n + t a k	intak	blood_short _tak			356 357
1255	- i m - i	106	blood	Matis	imi	sangre	i m i	imi	blood			355
1256	- i m - i	106	blood	Marubo	imi	sangre	i m i	imi	blood			355
1257	h i m - i	106	blood	Katukina	himi	sangre	h i m i	himi	blood			355
1258	h i m - i	106	blood	Shipibo_Konibo	himi	sangre	h i m i	himi	blood			355
1259	h i m - i	106	blood	Kapanawa	himi	sangre	h i m i	himi	blood			355
1260	- i m b i	106	blood	Arara	imbi	sangre	i m b i	imbi	blood			0
1261	- i m - i	106	blood	Shanenawa	imi	sangre	i m i	imi	blood			355
1262	- i m - i	106	blood	Yawanawa	imi	sangre	i m i	imi	blood			355
1263	- i m - ĩ	106	blood	Nukini	imĩ	sangre	i m ĩ	imĩ	blood			355
1264	- i m b i	106	blood	Poyanawa	imbi	sangre	i m b i	imbi	blood			355
1265	- i m - i	106	blood	Iskonawa	imi	sangre	i m i	imi	blood			355
1266	h i m - i	106	blood	Chakobo	himi	sangre	h i m i	himi	blood			355
1267	h i m - i	106	blood	Pakawara	himi	sangre	h i m i	himi	blood			355
1268	- i m - i	106	blood	Kakataibo	imi	sangre	i m i	imi	blood			355
1269	h i m - i	106	blood	Kaxarari	himi	sangre	h i m i	himi	blood			355
1270	- i - b i	106	blood	Mastanawa	ibi	sangre	i b i	ibi	blood			355
1271	- i - b i	106	blood	Chaninawa	ibi	sangre	i b i	ibi	blood			355
1272	- i - b i	106	blood	Sharanawa	ibi	sangre	i b i	ibi	blood			355
1273	h i m b i	106	blood	Amawaka	himbi	sangre	h i m b i	himbi	blood			355
1274	- i - b i	106	blood	Nawa	ibi	sangre	i b i	ibi	blood			355
1275	- i n b i	106	blood	Marinawa	inbi	sangre	i n b i	inbi	blood			355
1276	- i - b i	106	blood	Yaminawa	ibi	sangre	i b i	ibi	blood			355
1277	h i m - i	106	blood	Kashinawa_P	himi	sangre	h i m i	himi	blood			355
1278	h i m - i	106	blood	Kashinawa_B	himi	sangre	h i m i	himi	blood			355
1279	- a m - i	106	blood	Araona	ami	sangre	a m i	ami				0
1280	- a m - i	106	blood	Tacana	ami	sangre	a m i	ami				0
1281	- a m - i	106	blood	Cavinena	ami	sangre	a m i	ami				0
1282	e n a	104	blood	Ese_ejja	e'na	sangre	e n a	e'na				0
1283	t a + p u n	918	root	Matses	tapun	raiz	t a + p u n	tapun	foot _vein			2930
1284	ʂ u k u	923	root	Matis	ʂuku	raiz	ʂ u k u	ʂuku	small			2932
1285	t a + p u n	918	root	Marubo	tapun	raiz	t a + p u n	tapun	foot _vein			2930
1286	t a + p u n	918	root	Shipibo_Konibo	tapun	raiz	t a + p u n	tapun	foot _vein			2930
1287	t a + p u n	918	root	Kapanawa	tapun	raiz	t a + p u n	tapun	foot _vein			2930
1288	t a p u - -	918	root	Arara	tapu	raiz	t a p u	tapu	foot _vein			0
1289	t a + p u	918	root	Shanenawa	tapu	raiz	t a + p u	tapu	foot _vein			2930
1290	t a + p u n	918	root	Yawanawa	tapun	raiz	t a + p u n	tapun	foot _vein			2930
1291	t a + tʃ a	919	root	Poyanawa	tatʃa	raiz	t a + tʃ a	tatʃa	foot _tʃa			2931
1292	t a + p ũ	918	root	Iskonawa	tapũ	raiz	t a + p ũ	tapũ	foot _vein			2930
1293	t a + p u n u	918	root	Chakobo	tapunu	raiz	t a + p u n u	tapunu	foot _vein			2930
1294	t a + p u n u	918	root	Pakawara	tapunu	raiz	t a + p u n u	tapunu	foot _vein			2930
1295	t a + p u n	918	root	Kakataibo	tapun	raiz	t a + p u n	tapun	foot _vein			2930
1296	tʃ i + p u n u	1581	root	Kaxarari	tʃipunu	raiz	tʃ i + p u n u	tʃipunu	end _punu			2930
1297	t a + tʃ a	919	root	Mastanawa	taʧa	raiz	t a + tʃ a	taʧa	foot _tʃa			2931
1298	t a + p u	918	root	Chaninawa	tapu	raiz	t a + p u	tapu	foot _vein			2930
1299	t a + tʃ a	919	root	Sharanawa	tat͡ʃa	raiz	t a + tʃ a	tat͡ʃa	foot _tʃa			2931
1300	h iː	925	root	Amawaka	hi:	raiz	h iː	hi:	tree			2929
1301	t a + p u	918	root	Nawa	tapu	raiz	t a + p u	tapu	foot _vein			2930
1302	t a + p u	918	root	Marinawa	tapu	raiz	t a + p u	tapu	foot _vein			2930
1303	t a + p u	918	root	Yaminawa	tapu	raiz	t a + p u	tapu	foot _vein			2930
1304	t a + tʃ a	919	root	Kashinawa_P	taʧa	raiz	t a + tʃ a	taʧa	foot _tʃa			2931
1305	t a + tʃ a	919	root	Kashinawa_B	tatʃa	raiz	t a + tʃ a	tatʃa	foot _tʃa			2931
1306	a k u i ts a j a	920	root	Araona	akuitsaja	raiz	a k u i ts a j a	akuitsaja				0
1307	- - - - ts a j a	920	root	Araona	tsaja	raiz	ts a j a	tsaja				0
1308	e d a u	922	root	Tacana	ed'au	raiz	e d a u	ed'au				0
1309	e t i r i	921	root	Cavinena	etiri	raiz	e t i r i	etiri				0
1310	e s a dʒː a	924	root	Ese_ejja	esajja	raiz	e s a dʒː a	esajja				0
1311	p o d o	675	leaf	Matses	podo	hoja	p o d o	podo	arm/podo			2021
1312	p o d o	675	leaf	Matis	podo	hoja	p o d o	podo	arm/podo			2021
1313	p ɨ + i	673	leaf	Marubo	pɨi	hoja	p ɨ + i	pɨi	arm _i			2016 2019
1314	p e + i	673	leaf	Katukina	pei	hoja	p e + i	pei	arm _i			2016 2019
1315	p ɨ + i	673	leaf	Shipibo_Konibo	pɨi	hoja	p ɨ + i	pɨi	arm _i			2016 2019
1316	p ɨ + i	673	leaf	Kapanawa	pɨi	hoja	p ɨ + i	pɨi	arm _i			2016 2019
1317	d i p ɨ	582	leaf	Arara	dipɨ	hoja	d i p ɨ	dipɨ	?			0
1318	p ɨ + j	673	leaf	Shanenawa	pɨj	hoja	p ɨ + j	pɨj	arm _j			2016 2020
1319	p ɨ + i	673	leaf	Yawanawa	pɨi	hoja	p ɨ + i	pɨi	arm _i			2016 2019
1320	m ã n ɨ	674	leaf	Nukini	mãnɨ	hoja	m ã n ɨ	mãnɨ	large_leaf			2015
1321	m a ⁿd i	674	leaf	Poyanawa	mandi	hoja	m a ⁿd i	mandi	large_leaf			2015
1322	p ɨ + i	673	leaf	Iskonawa	pɨi	hoja	p ɨ + i	pɨi	arm _i			2016 2019
1323	p ɨ + ʔ i	673	leaf	Chakobo	pɨʔi	hoja	p ɨ + ʔ i	pɨ?i	arm _ʔi		arm, leaf, wing	2016 2017
1324	p ɨ + ʔ i	673	leaf	Pakawara	pɨʔi	hoja	p ɨ + ʔ i	pɨ?i	arm _ʔi			2016 2017
1325	p ɨ + i	673	leaf	Kakataibo	pɨi	hoja	p ɨ + i	pɨi	arm _i			2016 2019
1326	h i + m a n i	674	leaf	Kaxarari	himani	hoja	h i + m a n i	himani	tree large_leaf			2017 2015
1327	p ɨ + j	673	leaf	Mastanawa	pɨj	hoja	p ɨ + j	pɨj	arm _j			2016 2020
1328	ʂ ɨ p a	679	leaf	Chaninawa	ʂɨpa	hoja	ʂ ɨ p a	ʂɨpa	?			2018
1329	p ɨ + i	673	leaf	Sharanawa	pɨi	hoja	p ɨ + i	pɨi	arm _i			2016 2019
1330	m a ⁿd i	674	leaf	Amawaka	mandi	hoja	m a ⁿd i	mandi	large_leaf			2015
1331	p ɨ + j	673	leaf	Nawa	pɨj	hoja	p ɨ + j	pɨj	arm _j			2016 2020
1332	p ɨ + j	673	leaf	Marinawa	pɨj	hoja	p ɨ + j	pɨj	arm _j			2016 2020
1333	p ɨ + j	673	leaf	Yaminawa	pɨj	hoja	p ɨ + j	pɨj	arm _j			2016 2020
1334	p ɨ + j	673	leaf	Kashinawa_P	pɨj	hoja	p ɨ + j	pɨj	arm _j			2016 2020
1335	p ɨ + i	673	leaf	Kashinawa_B	pɨy	hoja	p ɨ + i	pɨy	arm _i			2016 2019
1336	a k u iː ɲ a	604	leaf	Araona	akuiiña	hoja	a k u iː ɲ a	akui-iña				0
1337	t u ts u a	677	leaf	Tacana	tutsua	hoja	t u ts u a	tutsua				0
1338	e j a q u i	680	leaf	Cavinena	ejaqui	hoja	e j a q u i	ejaqui				0
1339	j a t a	676	leaf	Cavinena	jata	hoja	j a t a	jata				0
1340	i ɲ a	604	leaf	Ese_ejja	iña	hoja	i ɲ a	iña				0
1341	β a k u ɨ	454	flower	Matses	βakuɨ	flor	β a k u ɨ	βakuɨ	breeding			486
1342	- u a	451	flower	Matis	ua	flor	u a	wa	flower			1317
1343	w a	451	flower	Marubo	wa	flor	w a	wa	flower			1320
1344	h a w a	451	flower	Katukina	hawa	flor	h a w a	hawa	ha flower		!	1318
1345	h u a	448	flower	Shipibo_Konibo	hua	flor	h u a	hua	flower			1317
1346	h u a	448	flower	Kapanawa	hua	flor	h u a	hua	flower			1317
1347	- u - - a	448	flower	Arara	ua	flor	u a	ua	flower			0
1348	n i n a	452	flower	Shanenawa	nina	flor	n i n a	nina	flower/nina			1323
1349	- u a	448	flower	Yawanawa	ua	flor	u a	ua	flower			1317
1350	tʃ u k u	453	flower	Poyanawa	tʃuku	flor	tʃ u k u	tʃuku	small			1322
1351	- u a	448	flower	Iskonawa	ua	flor	u a	ua	flower			1317
1352	h u a	448	flower	Chakobo	hua	flor	h u a	hua	flower			1317
1353	h u a	448	flower	Pakawara	hua	flor	h u a	hua	flower			1317
1354	- u a	449	flower	Kakataibo	rua	flor	u a	rua	flower			1317
1355	h i + h u a	448	flower	Kaxarari	hihua	flor	h i + h u a	hihua	tree flower			1319 1317
1356	tʃ a ɾ u	449	flower	Mastanawa	ʧaɾu	flor	tʃ a ɾ u	ʧaɾu	flower/charu			1316
1357	tʃ a ɾ u	449	flower	Chaninawa	t͡ʃaɾu	flor	tʃ a ɾ u	t͡ʃaɾu	flower/charu			1316
1358	tʃ a ɾ u	449	flower	Sharanawa	t͡ʃaɾu	flor	tʃ a ɾ u	t͡ʃaɾu	flower/charu			1316
1359	tʃ a ɾ u	449	flower	Amawaka	t͡ʃaɾu	flor	tʃ a ɾ u	t͡ʃaɾu	flower/charu			1316
1360	tʃ a ɾ u	449	flower	Nawa	ʧaɾu	flor	tʃ a ɾ u	ʧaɾu	flower/charu			1316
1361	tʃ a ɾ u	449	flower	Marinawa	ʧaɾu	flor	tʃ a ɾ u	ʧaɾu	flower/charu			1316
1362	tʃ a ɾ u	449	flower	Yaminawa	ʧaɾu	flor	tʃ a ɾ u	ʧaɾu	flower/charu			1316
1363	h u a	448	flower	Kashinawa_P	hwa	flor	h u a	hwa	flower			1317
1364	h u a	448	flower	Kashinawa_B	hua	flor	h u a	hua	flower			1317
1365	e ts a	455	flower	Araona	etsa	flor	e ts a	etsa				0
1366	ʃ a ʃ a	450	flower	Tacana	shasha	flor	ʃ a ʃ a	shasha				0
1367	ʃ a ʃ a	450	flower	Cavinena	shasha	flor	ʃ a ʃ a	shasha				0
1368	ʃ a ʃ a	450	flower	Ese_ejja	shasha	flor	ʃ a ʃ a	shasha				0
1369	β a k u ɨ	489	fruit (berry)	Matses	βakuɨ	fruta	β a k u ɨ	βakuɨ	breeding			486
1370	tʃ i tʃ o	389	fruit (berry)	Matis	tʃitʃo	fruta	tʃ i tʃ o	tʃitʃo	premature_baby			1418
1371	β i m - i	487	fruit (berry)	Marubo	βimi	fruta	β i m i	βimi	fruit			1417
1372	β i m - i	487	fruit (berry)	Katukina	βimi	fruta	β i m i	βimi	fruit			1417
1373	β i m - i	487	fruit (berry)	Kanamari	βimi	fruta	β i m i	βimi	fruit			1417
1374	β i m - i	487	fruit (berry)	Shipibo_Konibo	βimi	fruta	β i m i	βimi	fruit			1417
1375	β i m - i	487	fruit (berry)	Kapanawa	βimi	fruta	β i m i	βimi	fruit			1417
1376	β i m b i	487	fruit (berry)	Arara	βimbi	fruta	β i m b i	βimbi	fruit			0
1377	f i m - i	487	fruit (berry)	Shanenawa	fimi	fruta	f i m i	fimi	fruit			1417
1378	β i m - i	487	fruit (berry)	Yawanawa	βimi	fruta	β i m i	βimi	fruit			1417
1379	β i m - ĩ	487	fruit (berry)	Nukini	βimĩ	fruta	β i m ĩ	βimĩ	fruit			1417
1380	ũ x i	490	fruit (berry)	Poyanawa	ũxi	fruta	ũ x i	ũxi	red			1420
1381	β i m - i	487	fruit (berry)	Iskonawa	βimi	fruta	β i m i	βimi	fruit			1417
1382	β i m - i	487	fruit (berry)	Chakobo	βimi	fruta	β i m i	βimi	fruit			1417
1383	β i m - i	487	fruit (berry)	Pakawara	βimi	fruta	β i m i	βimi	fruit			1417
1384	β i m - i	487	fruit (berry)	Kakataibo	βimi	fruta	β i m i	βimi	fruit			1417
1385	w i m - i	487	fruit (berry)	Kaxarari	wimi	fruta	w i m i	wimi	fruit			1417
1386	ɸ i - b i	487	fruit (berry)	Mastanawa	ɸibi	fruta	ɸ i b i	ɸibi	fruit			1417
1387	ɸ i - b i	487	fruit (berry)	Chaninawa	ɸibi	fruta	ɸ i b i	ɸibi	fruit			1417
1388	ɸ i - b i	487	fruit (berry)	Sharanawa	ɸibi	fruta	ɸ i b i	ɸibi	fruit			1417
1389	w i m b i	487	fruit (berry)	Amawaka	wimbi	fruta	w i m b i	wimbi	fruit			1417
1390	ɸ i - b i	487	fruit (berry)	Nawa	ɸibi	fruta	ɸ i b i	ɸibi	fruit			1417
1391	ɸ i n b i	487	fruit (berry)	Marinawa	ɸinbi	fruta	ɸ i n b i	ɸinbi	fruit			1417
1392	ɸ i - b i	487	fruit (berry)	Yaminawa	ɸibi	fruta	ɸ i b i	ɸibi	fruit			1417
1393	β i m - i	487	fruit (berry)	Kashinawa_P	βimi	fruta	β i m i	βimi	fruit			1417
1394	β i m - i	487	fruit (berry)	Kashinawa_B	βimi	fruta	β i m i	βimi	fruit			1417
1395	- j a j a	488	fruit (berry)	Araona	jaja	fruta	j a j a	jaja				0
1396	e j a j a	488	fruit (berry)	Tacana	ejaja	fruta	e j a j a	ejaja				0
1397	e c a c a	488	fruit (berry)	Cavinena	ecaca	fruta	e c a c a	ecaca				0
1398	e dʒː a dʒː a	488	fruit (berry)	Ese_ejja	ejjajja	fruta	e dʒː a dʒː a	ejjajja				0
1399	- ɨ ʂ ɨ	999	seed	Matses	ɨʂɨ	semilla	ɨ ʂ ɨ	ɨʂɨ	seed			3146
1400	- ɨ ʂ ɨ	999	seed	Matis	ɨʂɨ	semilla	ɨ ʂ ɨ	ɨʂɨ	seed			3146
1401	- ɨ ʂ ɨ	999	seed	Marubo	ɨʂɨ	semilla	ɨ ʂ ɨ	ɨʂɨ	seed			3146
1402	h e x e	999	seed	Katukina	hexhe	semilla	h e x e	hexhe	seed			3146
1403	h ɨ s ɨ	999	seed	Kanamari	hɨsɨ	semilla	h ɨ s ɨ	hɨsɨ	seed			3146
1404	β ɨ r u	1000	seed	Shipibo_Konibo	βɨru	semilla	β ɨ r u	βɨru	eye	3		3147
1405	β ɨ r u	1000	seed	Kapanawa	βɨru	semilla	β ɨ r u	βɨru	eye			3147
1406	- ɨ ʂ ɨ	999	seed	Arara	ɨʂɨ	semilla	ɨ ʂ ɨ	ɨʂɨ	seed			0
1407	- ɨ ʂ ɨ	999	seed	Shanenawa	ɨʂɨ	semilla	ɨ ʂ ɨ	ɨʂɨ	seed			3146
1408	- ɨ ʂ ɨ	999	seed	Yawanawa	ɨʂɨ	semilla	ɨ ʂ ɨ	ɨʂɨ	seed			3146
1409	- ɨ h u	999	seed	Nukini	ɨhu	semilla	ɨ h u	ɨhu	seed			3146
1410	- ɨ h ɨ	999	seed	Poyanawa	ɨhɨ	semilla	ɨ h ɨ	ɨhɨ	seed			3146
1411	- ɨ h ɨ	999	seed	Iskonawa	ɨhɨ	semilla	ɨ h ɨ	ɨhɨ	seed			3146
1412	β ɨ r u	1000	seed	Chakobo	βɨru	semilla	β ɨ r u	βɨru	eye			3147
1413	β i r u	1000	seed	Pakawara	βiru	semilla	β i r u	βiru	eye			3147
1414	β ɨ r u	1000	seed	Kakataibo	βɨru	semilla	β ɨ r u	βɨru	eye			3147
1415	w a n a t u	1003	seed	Kaxarari	wanatu	semilla	w a n a t u	wanatu	?			3148
1416	- ɨ ʂ ɨ	999	seed	Mastanawa	ɨʂɨ	semilla	ɨ ʂ ɨ	ɨʂɨ	seed			3146
1417	- ɨ ʂ i	999	seed	Chaninawa	ɨʂi	semilla	ɨ ʂ i	ɨʂi	seed			3146
1418	- ɨ ʂ ɨ	999	seed	Sharanawa	ɨʂɨ	semilla	ɨ ʂ ɨ	ɨʂɨ	seed			3146
1419	h ɨ ç ɨ	999	seed	Amawaka	hɨçɨ	semilla	h ɨ ç ɨ	hɨçɨ	seed			3146
1420	- ɨ ʂ ɨ	999	seed	Nawa	ɨʂɨ	semilla	ɨ ʂ ɨ	ɨʂɨ	seed			3146
1421	- ɨ ʂ ɨ	999	seed	Marinawa	ɨʂɨ	semilla	ɨ ʂ ɨ	ɨʂɨ	seed			3146
1422	- ɨ ʂ ɨ	999	seed	Yaminawa	ɨʂɨ	semilla	ɨ ʂ ɨ	ɨʂɨ	seed			3146
1423	h ɨ ʂ ɨ	999	seed	Kashinawa_P	hɨʂɨ	semilla	h ɨ ʂ ɨ	hɨʂɨ	seed			3146
1424	h ɨ ʂ ɨ	999	seed	Kashinawa_B	hɨʂɨ	semilla	h ɨ ʂ ɨ	hɨʂɨ	seed			3146
1425	- j a j a	1001	seed	Araona	jaja	semilla	j a j a	jaja				0
1426	e j a j a	1001	seed	Tacana	ejaja	semilla	e j a j a	ejaja				0
1427	m a r u c a j i	1004	seed	Cavinena	marucaji	semilla	m a r u c a j i	marucaji				0
1428	m a d a # i j a c a	1002	seed	Cavinena	mada ijaca	semilla	m a d a # i j a c a	mada ijaca				0
1429	- e s o	999	seed	Ese_ejja	eso	semilla	e s o	eso				0
1430	β i ts i	49	bark [of tree]	Matses	βitsi	corteza	β i ts i	βitsi	skin	57		202
1431	β i ts i	49	bark [of tree]	Matis	βidtsi	corteza	β i ts i	βidtsi	skin	57		202
1432	ʂ a k - - a	48	bark [of tree]	Marubo	ʂaka	corteza	ʂ a k a	ʂaka	bark	46		201
1433	ʂ a k - - a	48	bark [of tree]	Shipibo_Konibo	ʂaka	corteza	ʂ a k a	ʂaka	bark	46		201
1434	β i tʃ i	49	bark [of tree]	Shipibo_Konibo	βitʃi	corteza	β i tʃ i	βitʃi	skin	57		202
1435	ʂ a k - - a	48	bark [of tree]	Kapanawa	ʂaka	corteza	ʂ a k a	ʂaka	bark	46		201
1436	ʃ a k a	48	bark [of tree]	Arara	ʃaka	corteza	ʃ a k a	ʃaka	bark	46		0
1437	ʂ a k - - a	48	bark [of tree]	Shanenawa	ʂaka	corteza	ʂ a k a	ʂaka	bark	46		201
1438	h a k - - a	48	bark [of tree]	Nukini	haka	corteza	h a k a	haka	bark	46		201
1439	h a k - - a	48	bark [of tree]	Poyanawa	haka	corteza	h a k a	haka	bark	46		201
1440	β i tʃ i	49	bark [of tree]	Iskonawa	βiʧi	corteza	β i tʃ i	βiʧi	skin	57		202
1441	h a k - - a	48	bark [of tree]	Iskonawa	haka	corteza	h a k a	haka	bark	46		201
1442	ʂ a k a t a	48	bark [of tree]	Chakobo	ʂakata	corteza	ʂ a k a t a	ʂakata	bark	46		201
1443	β i tʃ i	49	bark [of tree]	Chakobo	βitʃi	corteza	β i tʃ i	βitʃi	skin	57		202
1444	ʂ a k - - a	48	bark [of tree]	Kakataibo	ʂaka	corteza	ʂ a k a	ʂaka	bark	46		201
1445	h ɨ p u	51	bark [of tree]	Mastanawa	hɨpu	corteza	h ɨ p u	hɨpu	bark/hɨpu	56		204
1446	ʂ a k - - a	48	bark [of tree]	Chaninawa	ʂaka	corteza	ʂ a k a	ʂaka	bark	46		201
1447	p ɨ - - + ɸ i tʃ i	1552	bark [of tree]	Sharanawa	pɨɸit͡ʃi	corteza	p ɨ + ɸ i tʃ i	pɨɸit͡ʃi	arm skin	35 57		203 202
1448	ç a k - - a	48	bark [of tree]	Amawaka	çaka	corteza	ç a k a	çaka	skin	46		201
1449	d i d i + t i	50	bark [of tree]	Nawa	diditi	corteza	d i d i + t i	diditi	pull _ti	48	? maybe contains forest?	205 206
1450	p ɨ s i	52	bark [of tree]	Marinawa	pɨsi	corteza	p ɨ s i	pɨsi	bark/pɨsi	47		203
1451	ɸ i tʃ i	49	bark [of tree]	Yaminawa	ɸiʧi	corteza	ɸ i tʃ i	ɸiʧi	skin	57		202
1452	ʂ a k - - a	48	bark [of tree]	Kashinawa_P	ʂaka	corteza	ʂ a k a	ʂaka	bark	46		201
1453	ʂ a k - - a	48	bark [of tree]	Kashinawa_B	ʂaka	corteza	ʂ a k a	ʂaka	bark	46		201
1454	b i - - k i	49	bark [of tree]	Araona	biki	corteza	b i k i	biki	skin	57		0
1455	- e b i t i	49	bark [of tree]	Tacana	ebiti	corteza	e + b i t i	ebiti	_e skin	44 43		0
1456	b i - - t i	49	bark [of tree]	Cavinena	biti	corteza	b i t i	biti	skin	57		0
1457	e j è/e	53	bark [of tree]	Ese_ejja	ejè	corteza	e j è/e	ejè	eje/skin	34	? bark and skin are similar	0
1458	k u e s + t e	1193	stick [of wood]	Matses	kueste	palo	k u e s + t e	kueste	hit _-:suffix/te	54 55		1198 37
1459	k u e s + t e	1193	stick [of wood]	Matis	kueste	palo	k u e s + t e	kueste	hit _-:suffix/te	54 55		1198 1222
1460	tʃ i n t i	1194	stick [of wood]	Marubo	tʃinti	palo	tʃ i n t i	tʃinti	wooden_knife	45		3645
1461	h i w i	1191	stick [of wood]	Shipibo_Konibo	hiwi	palo	h i w i	hiwi	tree	69		3642
1462	h i w i	69	stick [of wood]	Kapanawa	hiwi	palo	h i w i	hiwi	tree	69		3642
1463	- i w i	1191	stick [of wood]	Arara	iwi	palo	i w i	iwi	tree	69		0
1464	- i ɸ i	1191	stick [of wood]	Shanenawa	iɸi	palo	i ɸ i	iɸi	tree	69		3642
1465	- i β i	1191	stick [of wood]	Yawanawa	iβi	palo	i β i	iβi	tree	69		3642
1466	- i β i	1191	stick [of wood]	Nukini	iβi	palo	i β i	iβi	tree	69		3642
1467	- i w i	1191	stick [of wood]	Iskonawa	iwi	palo	i w i	iwi	tree	69	? maybe wrong transcription, can it be that iBi and iwi are just the same?	3642
1468	h i w i	1191	stick [of wood]	Chakobo	hiwi	palo	h i w i	hiwi	tree	69		3642
1469	- i w i	1191	stick [of wood]	Pakawara	iwi	palo	i w i	iwi	tree	69		3642
1470	i	1191	stick [of wood]	Kakataibo	i	palo	i	i	tree	69		3643
1471	h i w i	1191	stick [of wood]	Kaxarari	hiwi	palo	h i w i	hiwi	tree	69		3642
1472	- i w i	1191	stick [of wood]	Mastanawa	iwi	palo	i w i	iwi	tree	69 68		3642
1473	- i β i	1191	stick [of wood]	Chaninawa	iβi	palo	i β i	iβi	tree	69		3642
1474	- i w i	1191	stick [of wood]	Sharanawa	iwi	palo	i w i	iwi	tree	69		3642
1475	h i -	1191	stick [of wood]	Amawaka	hi	palo	h i	hi	tree	69		3641
1476	i b i	1191	stick [of wood]	Nawa	ibi	palo	i b i	ibi	tree	69 68		3644
1477	i b i	1191	stick [of wood]	Marinawa	ibi	palo	i b i	ibi	tree	69		3644
1478	i b i	1191	stick [of wood]	Yaminawa	ibi	palo	i b i	ibi	tree	69		3644
1479	h i ʔ	1191	stick [of wood]	Kashinawa_P	hiʔ	palo	h i ʔ	hiʔ	tree	69		3641
1480	h i -	423	stick [of wood]	Kashinawa_B	hi	palo	h i	hi	tree	69		3641
1481	a k u i ʃ o k u e	1196	stick [of wood]	Araona	akuishokue	palo	a ku/k i + ʃ o ku/k e	akui-shokue	aki/tree _ʃoke/bark	63 65		0
